Pathways: 50  Ignitions: 50
Optimal-policy pathways
total_prob,ave_prob
-2.11617398802e-25,-5790106.04633
Perturbed-policy pathways
total_prob,ave_prob
-2.11617398802e-25,-5790093.96688
-2.11617398802e-25,-5790106.04633
-2.11617398802e-25,-5786103.33936
-2.11617398802e-25,-5779776.13254
-1.02544399099e-29,-5488578.88429
-2.06497747586e-23,-5731914.25823
-2.06510400212e-23,-5768577.12892
-2.11617398826e-25,-5775839.53538
-2.11617398802e-25,-5788297.22601
-2.11617398802e-25,-5788978.1489
-2.11617398802e-25,-5772928.67318
-1.99849284542e-23,-5783901.50686
-2.11617398802e-25,-5788774.14905
-2.11617398802e-25,-5785546.61306
-2.11617398802e-25,-5783106.59855
-2.11617398802e-25,-5781832.04333
-2.11617398802e-25,-5774549.33385
-2.11617398802e-25,-5786825.09848
-2.11617398802e-25,-5788928.0247
-2.11617398802e-25,-5788925.88206
-2.11617398802e-25,-5790076.19761
-2.11617398802e-25,-5785939.06696
